book,unique_tokens,total_tokens
A Room with a View by E. M.  Forster _57478_,4891,28298
Alice_s Adventures in Wonderland by Lewis Carroll _60624_,2076,12461
Beowulf_ An Anglo-Saxon Epic Poem _52640_,3921,18116
Cranford by Elizabeth Cleghorn Gaskell _40784_,4854,31905
Dracula by Bram Stoker _47752_,6857,65156
Frankenstein_ Or_ The Modern Prometheus by Mary Wollstonecraft Shelley _117668_,5268,33175
History of Tom Jones_ a Foundling by Henry Fielding _39646_,9201,151809
How to Observe_ Morals and Manners by Harriet Martineau _51437_,5696,30610
Little Women_ Or_ Meg_ Jo_ Beth_ and Amy by Louisa May Alcott _53318_,7813,87560
Middlemarch by George Eliot _55252_,11119,133697
Moby Dick_ Or_ The Whale by Herman Melville _120117_,12463,99529
Pride and Prejudice by Jane Austen _71294_,4941,53363
Romeo and Juliet by William Shakespeare _81275_,3050,13324
The Adventures of Ferdinand Count Fathom _ Complete by T.  Smollett _40314_,8134,73203
The Blue Castle_ a novel by L. M.  Montgomery _45401_,5043,30099
The Complete Works of William Shakespeare by William Shakespeare _56211_,18274,425521
The Enchanted April by Elizabeth Von Arnim _45511_,4545,32830
The Expedition of Humphry Clinker by T.  Smollett _40226_,9504,68230
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson _44586_,3205,12136
Twenty years after by Alexandre Dumas and Auguste Maquet _39708_,7787,106487
